mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.9518423080444336,0.33744966093136913,0.0407050609588623,0.0040427502157079276,0.3,0.01,3,50,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.5}",-0.3383899558306708,-0.32841201701669803,-0.3341316638896379,-0.3381044141761551,-0.33384769987364077,-0.33457715015736056,0.0036254241388823188,243
1.7291813373565674,0.18736356342140315,0.038899564743041994,0.01113562791835519,0.3,0.01,3,50,0.7,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.7}",-0.33797080723071876,-0.3281672604855525,-0.33395699546332736,-0.3378172592708893,-0.3335799923375703,-0.3342984629576116,0.003580292831304683,242
1.3578519821166992,0.07170547403303773,0.02842602729797363,0.003184271606734616,0.3,0.01,3,50,1.0,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",-0.3378020171268427,-0.3279332033997677,-0.33382552362738627,-0.3376180188003796,-0.3334075385758376,-0.3341172603060428,0.003596223516639373,239
2.5826858043670655,0.08368999365972565,0.028452539443969728,0.0021457791624796066,0.3,0.01,3,100,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.5}",-0.236467371356333,-0.23068254503207636,-0.2316479675907836,-0.23983855573046997,-0.2296093777688519,-0.23364916349570297,0.0038826885185133495,216
2.701407527923584,0.10956403714598516,0.035834455490112306,0.008787587281014598,0.3,0.01,3,100,0.7,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",-0.23618703536754126,-0.2305651745961626,-0.23141276339424705,-0.23964945537335383,-0.22937820668105383,-0.2334385270824717,0.003872363692135709,215
2.7073697566986086,0.12234673826388597,0.03662443161010742,0.006780025010370127,0.3,0.01,3,100,1.0,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-0.23604550677702227,-0.23032151621844993,-0.23116613687854723,-0.23948062622541638,-0.22917797743790125,-0.23323835270746743,0.0039021725619993054,214
6.892389011383057,0.20512099699638064,0.06798162460327148,0.04358414904600686,0.3,0.01,3,200,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.5}",-0.15920532276311938,-0.15719545731041074,-0.1522181053391268,-0.16739589057310492,-0.14920905989018368,-0.15704476717518911,0.006269472652468585,186
6.664305973052978,0.20635904107027236,0.050910425186157224,0.010777366794154307,0.3,0.01,3,200,0.7,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",-0.15904964158050183,-0.15704676227045744,-0.152067477447342,-0.16719242888902894,-0.14903712177620385,-0.1568786863927068,0.006257035198227454,185
6.055541944503784,0.21337519566968902,0.047507524490356445,0.008011600530088413,0.3,0.01,3,200,1.0,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-0.15897917293860891,-0.1568593695524006,-0.15198787038234657,-0.16708201731198805,-0.14882679355027473,-0.15674704474712378,0.0062799170487696995,184
2.0417778491973877,0.27237557818892855,0.033709239959716794,0.005727963122701831,0.3,0.01,5,50,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.5}",-0.3378503696898295,-0.328048125383059,-0.3337253278441213,-0.3377236743941654,-0.33339799006874454,-0.3341490974759839,0.0035900590430166684,241
1.9862051010131836,0.12889857483142186,0.027158403396606447,0.0036683264674512396,0.3,0.01,5,50,0.7,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.7}",-0.3375186356222475,-0.32778348484857656,-0.33353040603084133,-0.33740170687067206,-0.333237341930382,-0.3338943150605439,0.003559319772060052,238
1.644361686706543,0.13403750134262815,0.0277005672454834,0.003995600152887864,0.3,0.01,5,50,1.0,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",-0.33733570060026175,-0.3275427450164324,-0.33340440396857285,-0.33714527638637426,-0.33303122374946914,-0.33369186994422206,0.003564669560112264,236
3.0979302883148194,0.13945344821274447,0.04298501014709473,0.01777403532727052,0.3,0.01,5,100,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.5}",-0.23587372970276088,-0.23024831492632822,-0.23121272249186337,-0.23937966852565068,-0.22922533149834148,-0.2331879534289889,0.0038417734024155225,213
3.0211583614349364,0.12359104213131951,0.0374539852142334,0.005092953913937718,0.3,0.01,5,100,0.7,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",-0.23560654319948493,-0.23011762442196287,-0.2309163264652572,-0.2391233756813116,-0.2290037306495624,-0.23295352008351583,0.003818349076906847,211
